n,replicate,KL,fitted
10,1,6.979218576237453,6.618098601789222
10,2,6.813890808909824,6.618098601789222
10,3,6.8011521319238755,6.618098601789222
20,1,4.75650342875579,5.095279381371083
20,2,4.695191223226361,5.095279381371083
20,3,4.894567104027527,5.095279381371083
40,1,2.891273369302103,3.054694130980603
40,2,2.857022428678431,3.054694130980603
40,3,2.981272646598968,3.054694130980603
80,1,1.523432166835229,1.1888830680890623
80,2,1.6012851517385691,1.1888830680890623
80,3,1.4642125391601082,1.1888830680890623
160,1,0.6214099851396511,0.3535107718026524
160,2,0.6714071368794128,0.3535107718026524
160,3,0.6946763675801266,0.3535107718026524
320,1,0.3114811047576906,0.24903433670821654
320,2,0.3104367928855744,0.24903433670821654
320,3,0.29935974864931625,0.24903433670821654
640,1,0.15158041461516555,0.24769710248022248
640,2,0.136069720401794,0.24769710248022248
640,3,0.14485446447801037,0.24769710248022248
1280,1,0.0678773947453045,0.24769688880935958
1280,2,0.0708790209118601,0.24769688880935958
1280,3,0.06770171114413809,0.24769688880935958
2560,1,0.0340473601190203,0.24769688880935414
2560,2,0.035204978659377245,0.24769688880935414
2560,3,0.03176573615865589,0.24769688880935414
