n,replicate,KL
50,1,3.331419453570954
50,2,3.6458805998832613
50,3,3.637054488344658
50,4,3.2293692603300954
50,5,3.3391547735114435
50,6,3.484281258116655
50,7,3.6268114805922913
50,8,3.5529110494742464
50,9,3.634940149167613
50,10,3.3846086861034084
75,1,2.1561009245398277
75,2,2.2675430465097284
75,3,2.237383718569815
75,4,2.2868273548476905
75,5,2.0594674943021425
75,6,2.167282539665511
75,7,2.2076131417036673
75,8,2.0234670347461097
75,9,2.1052107321525786
75,10,1.9882493379397876
100,1,1.4078071886202288
100,2,1.468848358044073
100,3,1.3063223142139837
100,4,1.4643429807777295
100,5,1.4009566054244516
100,6,1.333505820831839
100,7,1.3016804652452203
100,8,1.3152227257867122
100,9,1.4349259688213916
100,10,1.3117392282960012
125,1,0.9631345703055813
125,2,1.0094851247743724
125,3,1.1743651496605312
125,4,1.0624217659254092
125,5,1.0326042719697601
125,6,0.9624731101837095
125,7,0.999994076831479
125,8,1.0180960231236156
125,9,1.0798919073502384
125,10,0.9200022319036885
150,1,0.8708077621734276
150,2,0.7417325418771955
150,3,0.8043146505096729
150,4,0.7719179612767306
150,5,0.7672586014070222
150,6,0.8369650893174949
150,7,0.7853244134307953
150,8,0.8916026262372329
150,9,0.8888986752087484
150,10,0.818120897649274
175,1,0.6096508145637981
175,2,0.5769951376198649
175,3,0.6386063971061979
175,4,0.6459349718297441
175,5,0.6319121854378952
175,6,0.6889590372283332
175,7,0.6547329757752056
175,8,0.6557233535541528
175,9,0.6161499351374584
175,10,0.6908426998065732
200,1,0.5629034528423964
200,2,0.4846528434664781
200,3,0.5027316100258326
200,4,0.5200219679045196
200,5,0.5721708325648528
200,6,0.5361949674308627
200,7,0.5461069894511731
200,8,0.5380479994039925
200,9,0.5851254855410775
200,10,0.541299420237066
250,1,0.4193394092217038
250,2,0.46875844089025615
250,3,0.377795205608046
250,4,0.3967476876712262
250,5,0.4329773979917811
250,6,0.3942002061083623
250,7,0.4063454465036355
250,8,0.39676574031022926
250,9,0.4299508762624729
250,10,0.3592990413336796
300,1,0.2769516367391082
300,2,0.3104762716456415
300,3,0.31604883793955274
300,4,0.2703339179935559
300,5,0.3316521217826906
300,6,0.30768947760527043
300,7,0.3508429019738955
300,8,0.3090289051388575
300,9,0.3235034833431424
300,10,0.30658412069520374
350,1,0.28175218636322164
350,2,0.2651479077495249
350,3,0.2951623585216062
350,4,0.2680621085705401
350,5,0.2700733251514026
350,6,0.2620669557762723
350,7,0.2643974618865814
350,8,0.2344258204831447
350,9,0.2628821040287872
350,10,0.25035782307967336
400,1,0.207829556082411
400,2,0.21319515373877412
400,3,0.22495843818976813
400,4,0.2182174523474118
400,5,0.23493090256702362
400,6,0.21699570727887302
400,7,0.20448143698971052
400,8,0.22438952036892415
400,9,0.2299524765405421
400,10,0.22323849702408577
450,1,0.2116883645789224
450,2,0.19435605737727893
450,3,0.15751206979107935
450,4,0.17335285148765875
450,5,0.18823803407729336
450,6,0.1910479582419443
450,7,0.21219164271273921
450,8,0.1817437077584075
450,9,0.2017373841172028
450,10,0.20656120017685775
500,1,0.1635476780021868
500,2,0.18494264518341588
500,3,0.1733616521507374
500,4,0.1762608200148938
500,5,0.18821051698779756
500,6,0.16876244535465273
500,7,0.17855696783732664
500,8,0.1622324274671533
500,9,0.1660192742063787
500,10,0.167043897085265
